modifier	head	modifier_mean	modifier_std	head_mean	head_std	compound_mean	compound_std	1800_local_mi	1810_local_mi	1820_local_mi	1830_local_mi	1840_local_mi	1850_local_mi	1860_local_mi	1870_local_mi	1880_local_mi	1890_local_mi	1900_local_mi	1910_local_mi	1920_local_mi	1930_local_mi	1940_local_mi	1950_local_mi	1960_local_mi	1970_local_mi	1980_local_mi	1990_local_mi	2000_local_mi	1800_log_ratio	1810_log_ratio	1820_log_ratio	1830_log_ratio	1840_log_ratio	1850_log_ratio	1860_log_ratio	1870_log_ratio	1880_log_ratio	1890_log_ratio	1900_log_ratio	1910_log_ratio	1920_log_ratio	1930_log_ratio	1940_log_ratio	1950_log_ratio	1960_log_ratio	1970_log_ratio	1980_log_ratio	1990_log_ratio	2000_log_ratio	1800_ppmi	1810_ppmi	1820_ppmi	1830_ppmi	1840_ppmi	1850_ppmi	1860_ppmi	1870_ppmi	1880_ppmi	1890_ppmi	1900_ppmi	1910_ppmi	1920_ppmi	1930_ppmi	1940_ppmi	1950_ppmi	1960_ppmi	1970_ppmi	1980_ppmi	1990_ppmi	2000_ppmi	1800_sim_bw_constituents	1810_sim_bw_constituents	1820_sim_bw_constituents	1830_sim_bw_constituents	1840_sim_bw_constituents	1850_sim_bw_constituents	1860_sim_bw_constituents	1870_sim_bw_constituents	1880_sim_bw_constituents	1890_sim_bw_constituents	1900_sim_bw_constituents	1910_sim_bw_constituents	1920_sim_bw_constituents	1930_sim_bw_constituents	1940_sim_bw_constituents	1950_sim_bw_constituents	1960_sim_bw_constituents	1970_sim_bw_constituents	1980_sim_bw_constituents	1990_sim_bw_constituents	2000_sim_bw_constituents	1800_sim_with_head	1810_sim_with_head	1820_sim_with_head	1830_sim_with_head	1840_sim_with_head	1850_sim_with_head	1860_sim_with_head	1870_sim_with_head	1880_sim_with_head	1890_sim_with_head	1900_sim_with_head	1910_sim_with_head	1920_sim_with_head	1930_sim_with_head	1940_sim_with_head	1950_sim_with_head	1960_sim_with_head	1970_sim_with_head	1980_sim_with_head	1990_sim_with_head	2000_sim_with_head	1800_sim_with_modifier	1810_sim_with_modifier	1820_sim_with_modifier	1830_sim_with_modifier	1840_sim_with_modifier	1850_sim_with_modifier	1860_sim_with_modifier	1870_sim_with_modifier	1880_sim_with_modifier	1890_sim_with_modifier	1900_sim_with_modifier	1910_sim_with_modifier	1920_sim_with_modifier	1930_sim_with_modifier	1940_sim_with_modifier	1950_sim_with_modifier	1960_sim_with_modifier	1970_sim_with_modifier	1980_sim_with_modifier	1990_sim_with_modifier	2000_sim_with_modifier
end_noun	user_noun	3.8666669999999996	1.117537	4.866667	0.339935	4.25	0.871165	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0007713107575491188	0.0010589172196877805	0.0010747218879666896	0.0008605669131861312	0.0010616651748363165	0.0012466627833840427	0.0011341726859361054	0.0012385584466043519	0.002549829442714907	0.003885323906753039	0.0059323293610075364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	0.0	0.0	0.0	0.0	0.0	1.3764240493110053e-05	1.5292640303622652e-05	0.0001399659842840674	0.0014016629938723038	0.0024356716082821893	0.004035257631268217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2802650455585069	0.23854787721508305	0.3211400356537153	0.38060750545547184	0.3494474602234131	0.3393414254380294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05593657849717451	0.07723980340866406	0.14679922425340905	0.12558572960075556	0.15099938598397605	0.1833472329751647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11696647833557615	0.13743479088557406	0.2875212645368441	0.2505337689026715	0.2545366076926048	0.2501407243950156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4585419503027271	0.5684728677094081	0.5421912253275984	0.51366448245665	0.4907774407324911	0.4653672524540986
firing_noun	line_noun	1.607143	1.6548479999999999	1.892857	1.496169	1.703704	1.717337	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0007862462337118626	0.0010952757752275993	0.001094019762388172	0.0008772314418650464	0.0010758930123521675	0.0012329915714169588	0.00113230756941011	0.0010762769924619908	0.0007287869458125887	0.0006758265803714287	0.0006151967947533468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	7.101742412719999e-06	1.818065136151836e-05	9.331057781004918e-06	8.126222056377167e-06	6.7232268158448e-06	3.6404506746282652e-06	1.254164137182247e-05	2.22762891191548e-05	2.163142836367344e-05	1.5310559603609444e-05	1.086124048620692e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15801354370464904	0.1812359250223336	0.1697876606589555	0.16749564265937564	0.15064070928423098	0.13483313697713015	0.17314122155976766	0.1979770676714509	0.1863122686637059	0.1705421511947478	0.15289959333654546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019671283064306124	0.03299612616485925	0.04463857176568932	0.02621609317542909	0.0210892783862916	0.025286775187612524	0.0260181562032733	0.027890140155232068	0.025223786371557245	0.024533319181162062	0.0271768221249311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11093130875003684	0.02536242435394541	0.21295668536389584	0.1640179507383114	0.18735859512156602	0.15252103126266214	0.1525043466950321	0.10668692909072676	0.1116773684065753	0.03547920618506736	0.09481219737259104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03697422383864697	0.039910842707332916	0.10278971632309483	0.03511727779616725	0.029946637033944814	0.0224423018115677	0.025111344569137856	0.03773565788611905	0.03247581076340489	0.027583043413196118	0.025671965555418137
game_noun	plan_noun	2.821429	1.9649349999999999	4.862069	0.344828	3.827586	1.233693	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0007713107575491188	0.0010589172196877805	0.0010747218879666896	0.0008605669131861312	0.0010616651748363165	0.0012253979090005574	0.0011108267586803226	0.0011188139999862355	0.0009189465110137347	0.0010483886722717477	0.0012292937495570733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	0.0	0.0	0.0	0.0	0.0	0.0	2.056334882477965e-07	4.7887318376427724e-05	0.00014754024483011442	0.00026585114161373235	0.00042936464157171714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04103486361540192	0.1995537645224308	0.2382914428080579	0.2373824592114567	0.24537001581622855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07082691866642159	0.0825918019568774	0.11960433560309025	0.1292909821230968	0.16409446313336865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2660707034559525	0.3178361706903488	0.3960633227506089	0.4072240085803563	0.4139145484348797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1469087424561469	0.18942743051037292	0.21146466707661096	0.19443763443916795	0.24511714191589476
application_noun	form_noun	4.766667	0.42295299999999997	4.862069	0.344828	4.8	0.476095	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0009012294135083617	0.0012121362012456256	0.0012536594286521974	0.0011337801459615875	0.0016626729742338438	0.0021003493992664355	0.0019936372163122927	0.0022604730774679572	0.0022826125669486844	0.002696314842655617	0.002250238418574998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	9.412498467794222e-05	0.00010910151832895006	0.00012100116901217173	0.0001976103891250261	0.0004413194934617227	0.0006921064023696358	0.0006964041476528022	0.0009390234388629014	0.001182580486891684	0.0015195809048257245	0.0012062955495611221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4739677160277886	0.4691596509020446	0.4305161548774229	0.4790311337271746	0.4751007177183941	0.4684114490603538	0.4428715623070181	0.4086868699870275	0.3642450996840419	0.33600677498056264	0.316102739120154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155289829421337	0.18223981015403407	0.1868469319499365	0.17381348386111073	0.1884335411720934	0.17466465756487742	0.14989650382417566	0.18461083791333435	0.19094934121042587	0.21310759240741065	0.2140116592380645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3245805143862752	0.3084713531384513	0.3084628067141585	0.2943457050245468	0.3619151358630249	0.3697616612962826	0.3515786522255981	0.3769275077252213	0.3776158446454002	0.2657267373819882	0.2837921916379145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3916565467650341	0.5203948767844125	0.4885239207393412	0.4253613311207906	0.4283908299008069	0.3754513265757428	0.3253156819307345	0.3525385053765295	0.30754214998117363	0.2938220330999057	0.303618325912515
web_noun	site_noun	2.678571	1.69144	3.933333	1.1813360000000002	3.785714	1.205853	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0007713107575491188	0.0010589172196877805	0.0011174657393945603	0.0008605669131861312	0.0010616651748363165	0.0012253979090005574	0.001147405086535362	0.0011713379662180664	0.0009949040894462497	0.02055335779523375	0.07267854604851612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	0.0	0.0	2.8036000076414258e-05	0.0	0.0	0.0	2.6982829087512078e-05	9.857931217098202e-05	0.00023020953823946143	0.01648485635827805	0.06275400821470102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4512856732084378	0.0	0.0	0.0	0.3963689057831439	0.4241010311331911	0.4237681464582936	0.4006872343688929	0.34691725500323484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021051113172794052	0.0	0.0	0.0	0.11622303856283273	0.08191791348403604	0.07222411452801004	0.05583135393768115	0.03545380516758725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04588661542659349	0.0	0.0	0.0	0.13403307178969345	0.07250012817872145	0.17065272046335286	0.2340495904979409	0.1706383022679633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04587636934449935	0.0	0.0	0.0	0.13856903413530525	0.1607234220534961	0.2016721215014456	0.2298300398319421	0.19373891804575896
flea_noun	market_noun	0.37931	0.805746	4.714286	0.839096	1.517241	1.133219	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0007713107575491188	0.0010589172196877805	0.0010747218879666896	0.0008605669131861312	0.0010616651748363165	0.0012615928366129091	0.0011308323720691106	0.001139924653254609	0.0010023821486418562	0.0011831313755112064	0.001181000580679367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	0.0	0.0	0.0	0.0	0.0	3.0603531023525673e-05	1.592185949202308e-05	8.275993134667231e-05	0.0002623041391847205	0.0004369103170484826	0.0004968422344081514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4492502595049624	0.3752514602676246	0.3800297094242423	0.3589777312626013	0.3394540906846222	0.3463314888156529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06866129059998162	0.0369372199659972	0.022078314620749245	0.025962395952707617	0.02557098542314344	0.014849545584904422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13946448543237944	0.06278630160334828	0.09935682842542827	0.11559330611470632	0.1101079005204046	0.07479426560320575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34113708595933906	0.21836704075890825	0.16664889048885628	0.17192967778833376	0.16683099434059845	0.15229209329052226
grandfather_noun	clock_noun	0.428571	0.775913	5.0	0.0	2.642857	1.3151389999999998	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0007713107575491188	0.0010589172196877805	0.001110391595336132	0.0009323110705115672	0.0011023777006708847	0.0012761888260317035	0.0011256696950073901	0.0010647091273301816	0.0007547758256980227	0.0007256504088542968	0.0006841382057149551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	0.0	0.0	2.509756370405895e-05	5.649965354140934e-05	3.254454210692265e-05	4.296929341139733e-05	1.1898076540467227e-05	1.974901714353575e-05	4.9843109562910214e-05	6.0437290774433154e-05	6.927567409481503e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5927923727207611	0.6668259925237529	0.6642468763293439	0.6493276596143597	0.5121993779753714	0.5492255294803049	0.5582704423583494	0.5135740629776162	0.480044449127536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009603188091199122	0.020259713383016856	0.013428048179309407	0.023688617283983325	0.0072864758972180825	0.014270146878400615	0.019666565011865592	0.01596584986612662	0.014773159203577125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041570060853851336	0.06357019085273674	0.039238353852042565	0.05032272305973747	0.03651176294394868	0.03838450292659161	0.04008513475911752	0.036000312132325886	0.0326631872426444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2635653377021619	0.403126215978336	0.34645950585165697	0.5004145032093571	0.20970866061342702	0.3903708972796592	0.5182727929652043	0.4609766746235607	0.473588671712074
guilt_noun	trip_noun	4.714286	0.589015	0.8620690000000001	0.9367639999999999	2.1851849999999997	1.155888	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0007713107575491188	0.0010589172196877805	0.0010747218879666896	0.0008605669131861312	0.0010616651748363165	0.0012253979090005574	0.0011098925052938973	0.0010483237891249447	0.0007811079815770597	0.000767424629721554	0.0007428834841873688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.111532353331841e-06	6.600135341240715e-05	8.939282883324363e-05	0.00011288304957675048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2953456793241715	0.41186489119224895	0.4065800023920999	0.41479794751582333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007990838917146399	0.012715216092080813	0.013732031954928234	0.013301002276118024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025827536842058282	0.027505692306790317	0.025716855261941274	0.029567669692420886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014018482839756263	0.1117600197640356	0.1589508319790353	0.201382787990121
silver_noun	spoon_noun	1.592593	1.472193	1.444444	1.77082	1.518519	1.449658	0.0029837879622794106	0.005162640494793255	0.0037747596012866736	0.003016189069167703	0.004268012095980889	0.003884241844668757	0.0036161432357539954	0.00405122016348696	0.0034374917616000413	0.0020725019313706143	0.002093130811178707	0.0018554955891825192	0.0019617362576701946	0.0017484605922643364	0.0018945559206437585	0.0019193931063661762	0.0016977336658616918	0.0015840415065348284	0.001356354384536651	0.0013298971847696985	0.0014973841787776132	0.0011455835691483215	0.0016705644768517213	0.0011312250369861206	0.0012678496152353509	0.0016059892501733267	0.001669030604901577	0.0013978145384773667	0.0015171208064568185	0.0015042708517756913	0.000942825295461614	0.0009882681527672297	0.0005800538960021051	0.0006506096529658771	0.000673014684304883	0.0006423392214504803	0.0005609185070483877	0.0004825628598069657	0.0004492379985672752	0.0005479742952905369	0.0005593216230693264	0.000747071900863654	0.6030319025853604	0.5663045400802301	0.55790148891443	0.5646379494680076	0.5543399758675923	0.524192798041404	0.5291585861595065	0.5301334052694993	0.4965792937581458	0.4628313149285661	0.4697295713748694	0.48817654490251006	0.498139179366787	0.5150906013058478	0.5266409400638311	0.5243653130994373	0.5161881414449841	0.5220589887978139	0.5188930432501822	0.49445088258579106	0.482253303280749	0.016920226847109955	0.015105325077055018	0.01204248775789308	0.016133362603376385	0.016991717235581242	0.02126317673533226	0.02164828129912116	0.014039955975994544	0.021197259070145347	0.017156819057701705	0.019500186937093687	0.017773318094934258	0.015350629468414012	0.01560606453710231	0.01904034117147695	0.017567317088168655	0.015669108460421154	0.019599926936941108	0.02193569606810467	0.02936397980166702	0.0254886709178645	0.17953577803190146	0.20036844412711088	0.211402682567864	0.1977904827297949	0.20634368206034245	0.17998939390673796	0.17720059821080064	0.18421316159210974	0.1974757652131788	0.18954120272587507	0.18675961689424184	0.2174917952458557	0.22887422407302335	0.22953494761456436	0.2528289539214983	0.2451995684367004	0.24657832905081145	0.26136554850703275	0.2571658601388892	0.2493603710075735	0.2529784699588658	0.09424431738671844	0.07626788439343693	0.055748985290977486	0.045370956580624205	0.06370281793346493	0.1005426188895354	0.0917754865832226	0.07179766458654076	0.09042791714294746	0.07753325680806275	0.0893394234965194	0.0700217008478569	0.060004656189966026	0.06282469422876462	0.07155174741150333	0.06343829716827637	0.05711483296706895	0.06703305316744773	0.07101280186870416	0.07556107764354741	0.08458482289305222
rush_noun	hour_noun	3.107143	1.371633	2.862069	1.357588	3.333333	1.273665	0.0014749613671424092	0.002999483413507575	0.0024208935182182282	0.0014499224296029812	0.0023047574566270298	0.001750242914637838	0.0017945092341890485	0.002142577497505777	0.0015032462619603876	0.0007999010900245724	0.0007713107575491188	0.0011421945576457905	0.0012317252509605422	0.0009531066423501689	0.0011946537882547347	0.0014065187964628575	0.0013164982887179494	0.0013964427599125302	0.0011076129065311358	0.001134979008822452	0.0012079874019404226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983755194110745e-16	0.0	5.141107246551117e-05	0.0001043287147078355	6.088718281576872e-05	9.151955473416876e-05	0.0001337489926602567	0.00015454075122821456	0.0002772995658484306	0.00032682114990253183	0.00038290184134208655	0.0004831443567445709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3352072052377191	0.43353325303836665	0.39995134178685454	0.4411888334628547	0.4496133080616532	0.43743678033709693	0.4596619603522811	0.4583158592858335	0.4349159180208967	0.4214232428259246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016514604739182388	0.03785307555450497	0.03764213184563453	0.051158731421009004	0.04754609521452839	0.03923056178278723	0.031821192784091734	0.034102064398880604	0.03710191953669936	0.04333530085415623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3188610488390581	0.3055219986292644	0.2976826291841427	0.22282204992316246	0.22805957692216985	0.23695187543852875	0.1639704585105848	0.13588094483300026	0.1206914716517739	0.12165507656278635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03560123307531657	0.10933873282569266	0.15919412146330128	0.19055967482269046	0.18917517468913084	0.16840559405089722	0.14890398793220347	0.2070015047095337	0.23923867951147876	0.2877850623341277
