modifier_mean	modifier_std	head_mean	head_std	compound_mean	compound_std	modifier	head
3.866667	1.117537	4.866667	0.339935	4.250000	0.871165	end_noun	user_noun
1.607143	1.654848	1.892857	1.496169	1.703704	1.717337	firing_noun	line_noun
2.821429	1.964935	4.862069	0.344828	3.827586	1.233693	game_noun	plan_noun
4.766667	0.422953	4.862069	0.344828	4.800000	0.476095	application_noun	form_noun
0.600000	0.800000	4.586207	1.099129	1.310345	1.020596	snail_noun	mail_noun
2.678571	1.691440	3.933333	1.181336	3.785714	1.205853	web_noun	site_noun
0.379310	0.805746	4.714286	0.839096	1.517241	1.133219	flea_noun	market_noun
0.428571	0.775913	5.000000	0.000000	2.642857	1.315139	grandfather_noun	clock_noun
1.066667	1.289272	3.407407	1.340516	1.703704	1.047566	diamond_noun	wedding_noun
4.714286	0.589015	0.862069	0.936764	2.185185	1.155888	guilt_noun	trip_noun
1.592593	1.472193	1.444444	1.770820	1.518519	1.449658	silver_noun	spoon_noun
3.107143	1.371633	2.862069	1.357588	3.333333	1.273665	rush_noun	hour_noun
2.000000	1.839732	4.620690	0.997023	3.851852	1.267944	china_noun	clay_noun
1.400000	1.083205	5.000000	0.000000	3.038462	1.224141	cocktail_noun	dress_noun
4.666667	0.537484	4.933333	0.249444	4.666667	0.471405	mailing_noun	list_noun
4.814815	0.771580	0.517241	1.037925	2.448276	1.248066	spelling_noun	bee_noun
4.666667	0.649786	4.766667	0.615540	4.400000	0.757188	public_noun	service_noun
2.931034	1.507019	4.517241	1.070633	4.000000	1.164965	head_noun	teacher_noun
4.500000	0.718795	5.000000	0.000000	4.600000	0.611010	video_noun	game_noun
4.666667	0.544331	0.413793	0.766418	2.275862	1.079481	spinning_noun	jenny_noun
3.961538	1.055417	0.466667	0.618241	2.038462	1.125945	think_noun	tank_noun
4.222222	1.065740	0.370370	0.727662	1.555556	1.099944	cash_noun	cow_noun
0.379310	0.611036	1.107143	1.144530	0.827586	0.912328	swan_noun	song_noun
0.666667	1.011050	1.851852	1.296825	0.724138	0.689655	monkey_noun	business_noun
0.370370	0.554320	0.814815	1.248318	0.750000	1.122020	snake_noun	oil_noun
0.714286	0.749149	1.000000	0.942809	0.714286	0.839096	smoking_noun	gun_noun
3.821429	0.888561	3.896552	0.959340	3.862069	1.007699	balance_noun	sheet_noun
0.758621	0.624509	4.607143	0.859372	1.250000	1.022078	zebra_noun	crossing_noun
0.884615	1.187335	1.730769	1.630424	1.250000	1.183970	cutting_noun	edge_noun
4.655172	0.956858	4.344828	0.799822	4.466667	0.718022	radio_noun	station_noun
4.620690	0.961816	2.250000	1.703463	3.320000	1.156547	search_noun	engine_noun
2.275862	1.435908	0.233333	0.558768	1.068966	1.014754	shrinking_noun	violet_noun
1.392857	1.112888	4.642857	0.811273	3.037037	0.881139	face_noun	value_noun
4.862069	0.344828	4.333333	1.135292	4.586207	0.720021	human_noun	being_noun
1.928571	1.645960	0.964286	1.721340	1.518519	1.524379	sacred_noun	cow_noun
4.482759	0.771058	0.965517	1.129014	2.259259	1.003423	number_noun	crunching_noun
1.413793	1.565077	3.230769	1.449342	2.379310	1.627645	silver_noun	screen_noun
1.000000	1.154701	0.481481	0.630718	0.538462	0.634324	melting_noun	pot_noun
0.166667	0.372678	4.428571	1.015191	1.366667	1.048279	kangaroo_noun	court_noun
4.655172	0.657889	4.700000	0.781025	4.666667	0.596285	ground_noun	floor_noun
0.413793	0.616846	2.333333	1.398412	0.793103	0.663289	rat_noun	run_noun
4.724138	0.518390	3.892857	1.496169	4.400000	0.757188	law_noun	firm_noun
1.733333	1.412641	5.000000	0.000000	3.366667	1.378002	polo_noun	shirt_noun
0.379310	1.031029	0.535714	0.680449	0.464286	0.680449	ivory_noun	tower_noun
2.033333	1.251222	1.750000	1.404711	1.620690	1.063948	lip_noun	service_noun
4.533333	0.884433	4.833333	0.582142	4.400000	1.171893	health_noun	insurance_noun
3.269231	1.482142	0.344828	0.657889	1.413793	1.034483	couch_noun	potato_noun
2.407407	1.162987	4.517241	0.724958	2.931034	1.142624	chain_noun	reaction_noun
0.518519	0.995187	0.551724	1.101291	0.666667	1.154701	silver_noun	bullet_noun
4.700000	0.458258	5.000000	0.000000	4.900000	0.300000	graduate_noun	student_noun
0.466667	0.618241	0.233333	0.422953	0.333333	0.537484	cloud_noun	nine_noun
3.965517	0.964285	1.285714	1.097307	2.655172	1.320289	front_noun	runner_noun
1.862069	1.224017	0.433333	0.558768	0.758621	0.857228	agony_noun	aunt_noun
0.740741	0.885797	3.800000	1.077033	2.142857	1.186661	rock_noun	bottom_noun
0.714286	1.097307	3.896552	1.241379	1.222222	1.257079	acid_noun	test_noun
4.896552	0.304543	4.827586	0.377740	4.965517	0.182466	climate_noun	change_noun
1.111111	1.165343	4.777778	0.415740	2.482759	1.221099	lotus_noun	position_noun
1.482759	1.476732	0.413793	0.670421	0.960000	1.038460	sitting_noun	duck_noun
4.896552	0.402135	4.000000	1.095445	4.200000	1.045626	car_noun	park_noun
1.379310	1.424267	0.703704	0.808053	0.814815	0.818175	gold_noun	mine_noun
0.296296	0.456623	0.448276	0.769514	0.310345	0.593264	gravy_noun	train_noun
3.655172	1.122677	4.666667	0.471405	3.700000	0.971253	case_noun	study_noun
4.466667	0.884433	0.500000	0.823754	1.925926	1.274419	night_noun	owl_noun
0.777778	0.916246	3.888889	1.396645	1.689655	0.875074	pecking_noun	order_noun
3.827586	1.052713	0.714286	0.749149	1.482759	1.102370	eye_noun	candy_noun
0.785714	0.976771	0.500000	0.866025	0.777778	0.874890	nest_noun	egg_noun
3.551724	1.220125	4.000000	1.032796	4.111111	1.065740	role_noun	model_noun
4.413793	1.067296	3.307692	2.071217	3.896552	1.422597	fashion_noun	plate_noun
0.185185	0.474305	3.785714	1.047348	1.250000	1.089725	crocodile_noun	tear_noun
0.250000	0.508850	2.035714	1.322393	0.857143	0.989743	rat_noun	race_noun
0.964286	0.944236	4.233333	0.919541	2.142857	1.273754	crash_noun	course_noun
0.642857	0.971534	1.551724	1.404088	1.428571	1.347712	rocket_noun	science_noun
4.750000	0.508850	0.714286	0.795395	2.166667	1.035482	memory_noun	lane_noun
1.035714	0.822980	4.896552	0.304543	2.320000	1.287478	smoking_noun	jacket_noun
4.344828	0.992241	4.689655	0.531974	4.571429	0.903508	interest_noun	rate_noun
4.862069	0.344828	5.000000	0.000000	4.931034	0.253395	engine_noun	room_noun
4.607143	0.672909	2.000000	1.281740	2.720000	0.917388	blame_noun	game_noun
3.733333	1.948219	3.866667	1.978776	3.724138	1.836349	brass_noun	ring_noun
0.500000	0.562731	4.655172	1.152983	1.807692	1.074861	panda_noun	car_noun
4.900000	0.300000	4.533333	0.956847	4.821429	0.382993	research_noun	project_noun
4.733333	0.442217	4.413793	0.720021	4.655172	0.657889	call_noun	center_noun
0.379310	0.611036	4.500000	0.718795	1.518519	1.166520	graveyard_noun	shift_noun
4.666667	0.537484	4.896552	0.304543	4.666667	0.699206	credit_noun	card_noun
2.300000	1.594783	4.000000	0.830455	2.892857	1.112888	cheat_noun	sheet_noun
4.833333	0.372678	4.766667	0.495536	4.700000	0.640312	parking_noun	lot_noun
3.172414	1.340843	2.033333	1.516209	2.689655	1.206404	fine_noun	line_noun
3.160000	2.203270	3.533333	1.857118	3.793103	1.749469	brick_noun	wall_noun
4.933333	0.249444	4.827586	0.377740	4.827586	0.460057	speed_noun	limit_noun
4.800000	0.400000	4.900000	0.300000	4.866667	0.339935	swimming_noun	pool_noun
4.866667	0.339935	4.827586	0.460057	4.733333	0.442217	bank_noun	account_noun
3.1304	1.6322	4.6957	1.4731	3.5217	1.4731	academy_noun	award_noun
3.76	1.4514	4.68	1.3844	3.8	1.3844	arcade_noun	game_noun
3.6667	1.5788	2.3333	1.6762	2.875	1.6762	baby_noun	blues_noun
1.96	1.2409999999999999	1.04	0.9626	1.48	0.9626	backroom_noun	boy_noun
0.8182	0.8528	2.7727	0.9409	0.8636	0.9409	banana_noun	republic_noun
4.913	0.2881	4.2609	0.4217	4.7826	0.4217	bankruptcy_noun	proceeding_noun
0.4231	0.8086	0.7692	0.8086	0.4231	0.8086	basket_noun	case_noun
2.3478	1.3007	4.5652	0.976	2.9565	0.976	beauty_noun	sleep_noun
3.5	1.3188	0.6667	1.439	1.375	1.439	blood_noun	bath_noun
0.56	0.8206	1.64	1.1299	0.88	1.1299	box_noun	office_noun
2.75	1.5673	2.2083	1.5857	2.0833	1.5857	brain_noun	drain_noun
0.9091	1.1509	3.2273	1.1925	1.2273	1.1925	bull_noun	market_noun
3.24	1.6145	2.64	1.8193	2.68	1.8193	cable_noun	car_noun
4.0769	1.4412	4.3077	1.1658	4.2308	1.1658	calendar_noun	month_noun
3.9545	1.3965	2.3182	1.3428	3.2273	1.3428	cocoa_noun	butter_noun
4.4583	1.0206	4.0833	0.8836	4.4583	0.8836	computer_noun	expert_noun
3.4545	1.405	4.3636	1.3988	3.6364	1.3988	contact_noun	lenses_noun
3.4545	1.405	4.3636	1.3988	3.6364	1.3988	contact_noun	lens_noun
4.1304	1.29	0.087	1.1369	0.7391	1.1369	copy_noun	cat_noun
4.7826	1.0426	4.0435	1.4378	4.3913	1.4378	crime_noun	rate_noun
4.4643	1.1049	4.4286	0.9993	4.5357	0.9993	day_noun	shift_noun
4.3636	1.0486	4.3636	1.1843	4.4545	1.1843	disability_noun	insurance_noun
2.76	1.6145	0.92	1.1804	1.32	1.1804	dream_noun	ticket_noun
4.2273	1.3068	1.4091	1.4362	2.5909	1.4362	fair_noun	play_noun
1.6364	1.177	4.2727	1.3588	1.6818	1.3588	fairy_noun	tale_noun
1.32	1.314	1.76	1.4967	1.36	1.4967	fall_noun	guy_noun
2.1724	1.416	4.1379	1.3718	2.1034	1.3718	field_noun	work_noun
4.5385	0.9479	3.1154	1.1129	4.0385	1.1129	football_noun	season_noun
0.75	1.0321	3.5	1.588	1.5	1.588	ghost_noun	town_noun
0.6667	1.0165	1.0	1.167	0.8095	1.167	glass_noun	ceiling_noun
0.6667	0.7958	1.2857	0.9636	0.8571	0.9636	grass_noun	root_noun
1.1364	1.0372	2.3182	1.3363	1.5	1.3363	head_noun	hunter_noun
4.8	0.414	2.8667	0.7432	4.4667	0.7432	health_noun	care_noun
0.6818	0.8937	4.2273	0.8985	1.0455	0.8985	hen_noun	party_noun
2.381	1.5645	3.4762	1.3148	2.8571	1.3148	home_noun	run_noun
1.0435	1.1862	3.7391	1.2044	1.2174	1.2044	honey_noun	trap_noun
3.8462	1.3173	3.7308	1.2304	3.9231	1.2304	incubation_noun	period_noun
4.4	1.4541	1.2667	1.5492	3.4	1.5492	information_noun	age_noun
3.15	1.7554	4.05	1.6092	3.2	1.6092	injury_noun	time_noun
4.3333	0.8681	4.0833	1.3613	3.875	1.3613	insider_noun	trading_noun
2.7917	1.5030000000000001	2.625	1.4939	2.6667	1.4939	jet_noun	lag_noun
4.3182	1.1291	2.8636	1.3363	3.5	1.3363	job_noun	fair_noun
2.2917	1.6806	4.3333	1.8606	2.375	1.8606	leap_noun	year_noun
4.75	0.4523	4.5833	0.9003	4.5833	0.9003	love_noun	song_noun
4.7895	0.5353	2.9474	0.7685	4.5789	0.7685	music_noun	festival_noun
4.4167	1.018	4.625	0.8836	4.5417	0.8836	music_noun	journalist_noun
4.5238	1.0305	4.1905	0.9808	4.5238	0.9808	noise_noun	complaint_noun
4.4583	1.1025	1.4167	1.4039	2.1667	1.4039	pain_noun	killer_noun
4.6667	0.637	4.4167	0.833	4.4583	0.833	peace_noun	conference_noun
4.4783	0.7903	4.0	1.0576	4.1304	1.0576	peace_noun	talk_noun
0.7727	1.3778	3.3636	1.1916	0.9091	1.1916	pipe_noun	dream_noun
1.4783	1.7286	0.5652	1.2239	0.9565	1.2239	poison_noun	pill_noun
3.5652	1.6467	4.6957	1.3817	4.0	1.3817	rice_noun	paper_noun
1.5217	1.1627	2.1739	1.4596	1.3043	1.4596	shelf_noun	life_noun
4.7083	0.6241	3.875	1.454	3.875	1.454	skin_noun	tone_noun
1.3333	1.1767	1.5926	1.2195	1.1111	1.2195	smoke_noun	screen_noun
4.3333	1.0901	3.5	1.5458	3.7083	1.5458	speed_noun	trap_noun
1.4074	1.4744	3.2593	1.5525	1.4444	1.5525	stag_noun	night_noun
0.52	1.0456	1.08	0.7681	0.44	0.7681	sugar_noun	daddy_noun
2.8636	1.4572	4.7727	1.5791	3.2727	1.5791	tear_noun	gas_noun
4.3636	1.3988	4.5	1.4362	4.4091	1.4362	time_noun	difference_noun
4.0769	1.3821	3.7692	1.3156	3.6923	1.3156	traffic_noun	control_noun
4.6538	0.8918	3.0769	1.7453	3.6154	1.7453	traffic_noun	jam_noun
4.6154	0.6504	4.0	0.9608	4.3846	0.9608	travel_noun	guide_noun
4.9286	0.2673	4.8571	0.3631	4.8571	0.3631	wedding_noun	anniversary_noun
4.7647	0.5623	4.0588	0.2425	4.9412	0.2425	wedding_noun	day_noun
