end user
firing line
game plan
application form
snail mail
web site
flea market
grandfather clock
diamond wedding
guilt trip
silver spoon
rush hour
china clay
cocktail dress
mailing list
spelling bee
public service
head teacher
video game
spinning jenny
think tank
cash cow
swan song
monkey business
snake oil
smoking gun
balance sheet
zebra crossing
cutting edge
radio station
search engine
shrinking violet
face value
human being
sacred cow
number crunching
silver screen
melting pot
kangaroo court
ground floor
rat run
law firm
polo shirt
ivory tower
lip service
health insurance
couch potato
chain reaction
silver bullet
graduate student
cloud nine
front runner
agony aunt
rock bottom
acid test
climate change
lotus position
sitting duck
car park
gold mine
gravy train
case study
night owl
pecking order
eye candy
nest egg
role model
fashion plate
crocodile tear
rat race
crash course
rocket science
memory lane
smoking jacket
interest rate
engine room
blame game
brass ring
panda car
research project
call center
graveyard shift
credit card
cheat sheet
parking lot
fine line
brick wall
speed limit
swimming pool
bank account
academy award
arcade game
baby blues
backroom boy
banana republic
bankruptcy proceeding
basket case
beauty sleep
blood bath
box office
brain drain
bull market
cable car
calendar month
cocoa butter
computer expert
contact lenses
copy cat
crime rate
day shift
disability insurance
dream ticket
fair play
fairy tale
fall guy
field work
football season
ghost town
glass ceiling
grass root
head hunter
health care
hen party
home run
honey trap
incubation period
information age
injury time
insider trading
jet lag
job fair
leap year
love song
music festival
music journalist
noise complaint
pain killer
peace conference
peace talk
pipe dream
poison pill
rice paper
shelf life
skin tone
smoke screen
speed trap
stag night
sugar daddy
tear gas
time difference
traffic control
traffic jam
travel guide
wedding anniversary
wedding day
winter solstice
world conference
armchair critic
baby buggy
birth rate
bow tie
brain teaser
carpet bombing
computer program
con artist
cooking stove
cotton candy
disc jockey
dust storm
elbow grease
elbow room
entrance hall
fish story
flower child
food market
foot soldier
front man
goose egg
guinea pig
health check
insane asylum
insurance company
insurance policy
iron collar
labour union
life belt
life vest
lime tree
loan shark
mail service
market place
middle school
milk tooth
mother tongue
news agency
nut case
phone book
pillow slip
pocket book
prison guard
prison term
record book
research lab
sex bomb
silver lining
street girl
subway system
tennis elbow
top dog
word painting
