compound_lemma	compound_surface	compound_lemmapos	nAnnot	compositionality	headLemma	modifierLemma	avgHead	stdevHead	avgModifier	stdevModifier	stdevHeadModifier	equivalents
ancient_history	ancient_history	ancient/ADJ_history/NOUN	19	1.9474	history	ancient	2.8421	2.1151	2	1.5275	1.5802	old news(7);in the past(3);past(2);forever ago(2);bygone days(2);history(2)
armchair_critic	armchair_critic	armchair/NOUN_critic/NOUN	18	1.3333	critic	armchair	4.5556	1.3382	0.8333	0.9852	1.2834	backseat driver(4);armchair quarterback(3);critic(2);monday morning quaterback(2);hypocrite(2);bystander(2)
baby_buggy	baby_buggy	baby/NOUN_buggy/NOUN	18	3.9444	buggy	baby	3.6667	1.4142	4.5	1.0432	1.3921	stroller(12);baby carriage(10);pram(6);baby stroller(5);cart(2);carriage(2)
bad_hat	bad_hat	bad/ADJ_hat/NOUN	16	0.625	hat	bad	0	0	4.25	1.291	0.9574	criminal(4);bad person(3);trouble maker(3);no good(2);bad guy(2)
benign_tumour	benign_tumour	benign/ADJ_tumour/NOUN	16	4.6875	tumour	benign	4.875	0.5	4.5	1.2649	1.0145	benign growth(4);growth(3);nonmalignant tumor(2);benign cancer(2);non cancerous tumour(2)
big_fish	big_fish	big/ADJ_fish/NOUN	20	0.85	fish	big	0.6	0.9947	2.75	1.8317	1.0894	top dog(4);important person(4);big shot(3);big kahuna(2);head honcho(2)
birth_rate	birth_rate	birth/NOUN_rate/NOUN	20	4.6	rate	birth	4.65	0.8127	4.7	0.7327	0.5982	number of births(3);population rate(3);fertility rate(3);growth rate(2);population(2)
black_cherry	black_cherry	black/ADJ_cherry/NOUN	19	3.1053	cherry	black	4.3684	1.4225	2.6316	2.0605	1.6294	cherry(7);dark cherry(5);wild cherry(4);fruit(3);black fruit(2);rum cherry(2)
bow_tie	bow_tie	bow/NOUN_tie/NOUN	16	4.25	tie	bow	4.6875	1.0145	4.25	1.2383	1.2383	tie(6);necktie(4);black tie(3);cravat(2);knot(2);accessory(2)
brain_teaser	brain_teaser	brain/NOUN_teaser/NOUN	17	2.6471	teaser	brain	2.2941	1.4902	3.3529	1.5387	1.3201	puzzle(10);riddle(6);logic puzzle(2);challenge(2)
busy_bee	busy_bee	busy/ADJ_bee/NOUN	24	0.875	bee	busy	0.3333	0.702	4.4583	0.8836	0.9918	busy person(5);go getter(5);busy body(5);busy beaver(3);hard worker(3);busy(2);doer(2);preoccupied person(2)
