compound	compositionality	head	modifier	avgHead	stdevHead	avgModifier	stdevModifier	stdevHeadModifier	is_adj	source	is_original
ancient_history	1.9474	history	ancient	2.8421	2.1151	2.0	1.5275	1.5802	True	cordeiro90	True
armchair_critic	1.3333	critic	armchair	4.5556	1.3382	0.8333	0.9852	1.2834	False	cordeiro90	True
baby_buggy	3.9444	buggy	baby	3.6667	1.4142	4.5	1.0432	1.3921	False	cordeiro90	True
bad_hat	0.625	hat	bad	0.0	0.0	4.25	1.291	0.9574	True	cordeiro90	True
benign_tumour	4.6875	tumour	benign	4.875	0.5	4.5	1.2649	1.0145	True	cordeiro90	True
benign_tumor	4.6875	tumor	benign	4.875	0.5	4.5	1.2649	1.0145	True	cordeiro90	False
big_fish	0.85	fish	big	0.6	0.9947	2.75	1.8317	1.0894	True	cordeiro90	True
birth_rate	4.6	rate	birth	4.65	0.8127	4.7	0.7327	0.5982	False	cordeiro90	True
black_cherry	3.1053	cherry	black	4.3684	1.4225	2.6316	2.0605	1.6294	True	cordeiro90	True
bow_tie	4.25	tie	bow	4.6875	1.0145	4.25	1.2383	1.2383	False	cordeiro90	True
brain_teaser	2.6471	teaser	brain	2.2941	1.4902	3.3529	1.5387	1.3201	False	cordeiro90	True
busy_bee	0.875	bee	busy	0.3333	0.702	4.4583	0.8836	0.9918	True	cordeiro90	True
carpet_bombing	1.2353	bombing	carpet	4.9412	0.2425	0.7059	1.1048	1.2005	False	cordeiro90	True
cellular_phone	3.7778	phone	cellular	5.0	0.0	3.2778	1.5645	1.5168	True	cordeiro90	True
close_call	1.5882	call	close	0.9412	1.1974	3.4118	1.7342	1.372	True	cordeiro90	True
closed_book	0.6842	book	closed	0.5263	1.1239	2.1579	1.8032	1.1082	True	cordeiro90	True
computer_program	4.5	program	computer	4.5556	0.8556	4.6667	0.8402	0.9852	False	cordeiro90	True
computer_programme	4.5	programme	computer	4.5556	0.8556	4.6667	0.8402	0.9852	False	cordeiro90	False
con_artist	2.1	artist	con	1.25	1.1642	4.5	1.0	1.4473	False	cordeiro90	True
cooking_stove	4.6842	stove	cooking	4.6316	0.684	4.6842	0.671	0.5824	False	cordeiro90	True
cotton_candy	1.7895	candy	cotton	4.3158	0.9459	1.1053	1.1496	1.1343	False	cordeiro90	True
critical_review	4.0588	review	critical	4.7647	0.4372	3.3529	1.6934	1.144	True	cordeiro90	True
dead_end	1.3158	end	dead	4.2105	1.1343	0.2632	0.7335	1.455	True	cordeiro90	True
dirty_money	2.2105	money	dirty	4.1579	1.5728	1.8947	1.4489	1.5121	True	cordeiro90	True
dirty_word	2.4762	word	dirty	4.1429	1.4243	2.0	1.3784	1.721	True	cordeiro90	True
disc_jockey	1.25	jockey	disc	1.0	1.5218	2.55	1.7313	1.4096	False	cordeiro90	True
divine_service	3.1053	service	divine	3.7368	1.1945	4.0	1.3744	1.5949	True	cordeiro90	True
dry_land	3.95	land	dry	4.85	0.3663	3.85	1.4965	1.2344	True	cordeiro90	True
dry_wall	3.3333	wall	dry	4.5556	0.9218	3.5	1.5049	1.645	True	cordeiro90	True
dust_storm	3.85	storm	dust	3.95	1.4681	4.2	1.4726	1.5985	False	cordeiro90	True
eager_beaver	0.3636	beaver	eager	0.1818	0.6645	4.4091	1.2212	0.7895	True	cordeiro90	True
economic_aid	4.3333	aid	economic	4.3333	0.686	4.1111	1.0786	0.8402	True	cordeiro90	True
elbow_grease	0.5556	grease	elbow	0.1667	0.5145	0.9444	0.8726	0.7048	False	cordeiro90	True
elbow_room	0.6087	room	elbow	0.6957	1.259	1.3913	1.4378	0.9409	False	cordeiro90	True
entrance_hall	4.1667	hall	entrance	3.8333	1.2005	4.7778	0.4278	1.0432	False	cordeiro90	True
eternal_rest	3.25	rest	eternal	2.45	1.4318	4.3	1.5594	1.6504	True	cordeiro90	True
fish_story	1.6842	story	fish	4.8421	0.3746	1.5263	1.8369	1.7655	False	cordeiro90	True
flower_child	0.5	child	flower	0.65	0.8127	1.1	0.7881	0.6882	False	cordeiro90	True
food_market	3.8235	market	food	3.9412	1.2976	4.5294	1.2805	1.6292	False	cordeiro90	True
foot_soldier	1.9474	soldier	foot	3.3684	1.921	1.3158	1.3355	1.2681	False	cordeiro90	True
front_man	1.6364	man	front	1.5909	1.8168	2.4545	1.5032	1.4653	False	cordeiro90	True
goose_egg	0.4762	egg	goose	0.5714	0.9258	0.381	0.74	0.8136	False	cordeiro90	True
