compound	modifier	head	transparent
academy_award	academy	award	False
access_card	access	card	True
accounting_book	accounting	book	True
acting_course	acting	course	True
action_figure	action	figure	False
action_film	action	film	True
action_movie	action	movie	True
adjustment_process	adjustment	process	True
advertising_contract	advertising	contract	True
advertising_designer	advertising	designer	True
advertising_purpose	advertising	purpose	True
age_limit	age	limit	True
air_bag	air	bag	True
air_force	air	force	False
air_mail	air	mail	True
alcohol_bottle	alcohol	bottle	True
animal_anatomy	animal	anatomy	True
animal_bones	animal	bones	True
animal_brain	animal	brain	True
animal_life	animal	life	True
animal_matter	animal	matter	True
ankle_injury	ankle	injury	True
approval_rating	approval	rating	True
approval_requirement	approval	requirement	True
arcade_game	arcade	game	False
area_director	area	director	True
arm_wrestling	arm	wrestling	True
army_camp	army	camp	True
army_officer	army	officer	True
art_collection	art	collection	True
art_form	art	form	True
art_school	art	school	True
art_group	art	group	True
assembly_line	assembly	line	True
attack_damage	attack	damage	True
automobile_accident	automobile	accident	True
back_door	back	door	True
back_pain	back	pain	True
back_pocket	back	pocket	True
background_check	background	check	True
background_color	background	color	True
background_colour	background	colour	True
background_target	background	target	True
backup_anchor	backup	anchor	True
backup_file	backup	file	True
backup_operation	backup	operation	True
backup_repository	backup	repository	True
band_aid	band	aid	False
band_member	band	member	True
bank_account	bank	account	True
bank_building	bank	building	True
bass_player	bass	player	True
bastard_son	bastard	son	True
battle_cry	battle	cry	False
bead_maker	bead	maker	True
belief_system	belief	system	True
bird_species	bird	species	True
birth_certificate	birth	certificate	True
birth_control	birth	control	True
birth_defect	birth	defect	True
birth_name	birth	name	True
birth_place	birth	place	True
blank_shell	blank	shell	False
blood_bath	blood	bath	False
blood_cell	blood	cell	True
blood_pressure	blood	pressure	True
blood_sugar	blood	sugar	True
blood_test	blood	test	True
board_game	board	game	True
boat_house	boat	house	True
body_fat	body	fat	True
body_language	body	language	True
body_mass	body	mass	True
body_part	body	part	True
body_structure	body	structure	True
body_symmetry	body	symmetry	True
body_wall	body	wall	True
body_whorl	body	whorl	False
boiling_process	boiling	process	True
bomb_burst	bomb	burst	True
bone_marrow	bone	marrow	False
bone_problem	bone	problem	True
bony_fish	bony	fish	True
book_character	book	character	True
book_review	book	review	True
border_guard	border	guard	True
bounty_hunter	bounty	hunter	False
bow_saw	bow	saw	True
bowl_shape	bowl	shape	True
box_office	box	office	False
brain_death	brain	death	True
brain_drain	brain	drain	False
brain_volume	brain	volume	True
brand_awareness	brand	awareness	True
brand_image	brand	image	False
brand_name	brand	name	False
brass_knuckle	brass	knuckle	False
break_point	break	point	False
breast_cancer	breast	cancer	True
bridge_structure	bridge	structure	True
brightness_scale	brightness	scale	True
building_block	building	block	True
building_window	building	window	True
bull_market	bull	market	False
bullet_hole	bullet	hole	True
bullet_proof	bullet	proof	True
bulletin_board	bulletin	board	True
burial_place	burial	place	True
bus_service	bus	service	True
bus_stop	bus	stop	True
bus_system	bus	system	True
bus_terminal	bus	terminal	True
bus_travel	bus	travel	True
bus_type	bus	type	True
business_activity	business	activity	True
business_associate	business	associate	True
business_computer	business	computer	True
business_contact	business	contact	True
business_deal	business	deal	True
business_law	business	law	True
business_leader	business	leader	True
business_man	business	man	True
business_model	business	model	True
business_news	business	news	True
business_park	business	park	False
business_plan	business	plan	True
