modifier	head	avgModifier	stdevModifier	avgHead	stdevHead	compositionality	stdevHeadModifier	is_adj	compound	source	is_original
end	user	3.866667	1.117537	4.866667	0.339935	4.25	0.871165	False	end_user	reddy	True
firing	line	1.607143	1.654848	1.892857	1.496169	1.703704	1.717337	False	firing_line	reddy	True
game	plan	2.821429	1.964935	4.862069	0.344828	3.827586	1.233693	False	game_plan	reddy	True
application	form	4.766667	0.422953	4.862069	0.344828	4.8	0.476095	False	application_form	reddy	True
snail	mail	0.6	0.8	4.586207	1.099129	1.310345	1.020596	False	snail_mail	reddy	True
web	site	2.678571	1.69144	3.933333	1.181336	3.785714	1.205853	False	web_site	reddy	True
flea	market	0.37931	0.805746	4.714286	0.839096	1.517241	1.133219	False	flea_market	reddy	True
grandfather	clock	0.428571	0.775913	5.0	0.0	2.642857	1.315139	False	grandfather_clock	reddy	True
diamond	wedding	1.066667	1.289272	3.407407	1.340516	1.703704	1.047566	False	diamond_wedding	reddy	True
guilt	trip	4.714286	0.589015	0.862069	0.936764	2.185185	1.155888	False	guilt_trip	reddy	True
silver	spoon	1.592593	1.472193	1.444444	1.77082	1.518519	1.449658	False	silver_spoon	reddy	True
rush	hour	3.107143	1.371633	2.862069	1.357588	3.333333	1.273665	False	rush_hour	reddy	True
china	clay	2.0	1.839732	4.62069	0.997023	3.851852	1.267944	False	china_clay	reddy	True
cocktail	dress	1.4	1.083205	5.0	0.0	3.038462	1.224141	False	cocktail_dress	reddy	True
mailing	list	4.666667	0.537484	4.933333	0.249444	4.666667	0.471405	False	mailing_list	reddy	True
spelling	bee	4.814815	0.77158	0.517241	1.037925	2.448276	1.248066	False	spelling_bee	reddy	True
public	service	4.666667	0.649786	4.766667	0.61554	4.4	0.757188	False	public_service	reddy	True
head	teacher	2.931034	1.507019	4.517241	1.070633	4.0	1.164965	False	head_teacher	reddy	True
video	game	4.5	0.718795	5.0	0.0	4.6	0.61101	False	video_game	reddy	True
spinning	jenny	4.666667	0.544331	0.413793	0.766418	2.275862	1.079481	False	spinning_jenny	reddy	True
think	tank	3.961538	1.055417	0.466667	0.618241	2.038462	1.125945	False	think_tank	reddy	True
cash	cow	4.222222	1.06574	0.37037	0.727662	1.555556	1.099944	False	cash_cow	reddy	True
swan	song	0.37931	0.611036	1.107143	1.14453	0.827586	0.912328	False	swan_song	reddy	True
monkey	business	0.666667	1.01105	1.851852	1.296825	0.724138	0.689655	False	monkey_business	reddy	True
snake	oil	0.37037	0.55432	0.814815	1.248318	0.75	1.12202	False	snake_oil	reddy	True
smoking	gun	0.714286	0.749149	1.0	0.942809	0.714286	0.839096	False	smoking_gun	reddy	True
balance	sheet	3.821429	0.888561	3.896552	0.95934	3.862069	1.007699	False	balance_sheet	reddy	True
zebra	crossing	0.758621	0.624509	4.607143	0.859372	1.25	1.022078	False	zebra_crossing	reddy	True
cutting	edge	0.884615	1.187335	1.730769	1.630424	1.25	1.18397	False	cutting_edge	reddy	True
radio	station	4.655172	0.956858	4.344828	0.799822	4.466667	0.718022	False	radio_station	reddy	True
search	engine	4.62069	0.961816	2.25	1.703463	3.32	1.156547	False	search_engine	reddy	True
shrinking	violet	2.275862	1.435908	0.233333	0.558768	1.068966	1.014754	True	shrinking_violet	reddy	True
face	value	1.392857	1.112888	4.642857	0.811273	3.037037	0.881139	False	face_value	reddy	True
human	being	4.862069	0.344828	4.333333	1.135292	4.586207	0.720021	False	human_being	reddy	True
sacred	cow	1.928571	1.64596	0.964286	1.72134	1.518519	1.524379	True	sacred_cow	reddy	True
number	crunching	4.482759	0.771058	0.965517	1.129014	2.259259	1.003423	False	number_crunching	reddy	True
silver	screen	1.413793	1.565077	3.230769	1.449342	2.37931	1.627645	False	silver_screen	reddy	True
melting	pot	1.0	1.154701	0.481481	0.630718	0.538462	0.634324	False	melting_pot	reddy	True
kangaroo	court	0.166667	0.372678	4.428571	1.015191	1.366667	1.048279	False	kangaroo_court	reddy	True
ground	floor	4.655172	0.657889	4.7	0.781025	4.666667	0.596285	False	ground_floor	reddy	True
rat	run	0.413793	0.616846	2.333333	1.398412	0.793103	0.663289	False	rat_run	reddy	True
law	firm	4.724138	0.51839	3.892857	1.496169	4.4	0.757188	False	law_firm	reddy	True
