context	count
be_v	13539177597
have_v	3638096990
not_r	2257133899
do_v	1268417706
can_v	831829941
when_r	759642983
make_v	756783810
would_v	734711601
will_v	707078848
other_a	690317805
time_n	682155217
say_v	636368909
may_v	607098852
so_r	570573086
see_v	564235350
take_v	520457153
also_r	518891177
such_a	511357805
use_v	487159665
give_v	485568290
only_r	471673529
more_r	455782564
go_v	444462818
could_v	443410367
year_n	439828401
then_r	434074583
state_n	433414137
know_v	431237634
should_v	406972379
come_v	404240985
find_v	390292046
first_a	373342176
great_a	368516430
many_a	365657820
as_r	356343203
people_n	342398745
now_r	338421973
where_r	334961615
way_n	333078316
very_r	332310658
even_r	331678207
must_v	330755165
life_n	327690775
day_n	326748227
good_a	326198684
new_a	320891653
more_a	317085505
part_n	312658651
how_r	312509220
same_a	312019121
case_n	308625637
well_r	307257043
work_n	302176491
man_n	295479471
get_v	295309128
become_v	292248052
think_v	287761262
system_n	285340724
most_r	276694210
high_a	274720091
child_n	269019334
show_v	259750610
however_r	259566953
own_a	256566781
number_n	251778293
world_n	248121858
woman_n	239353293
large_a	234056225
call_v	231535251
men_n	227443283
power_n	223449675
long_a	223232838
just_r	222764681
place_n	221178266
new_n	219605802
group_n	218497476
follow_v	218049217
law_n	217684999
thing_n	216881059
here_r	215708303
old_a	214262335
government_n	212360984
country_n	212321144
look_v	212049293
little_a	209625125
seem_v	207189648
small_a	206204789
write_v	204933159
hand_n	204367867
include_v	204365031
point_n	204108172
might_v	202305781
word_n	200995426
order_n	200358359
still_r	200316979
leave_v	200230221
form_n	199722583
god_n	194442233
provide_v	194316816
tell_v	193297827
too_r	192737073
much_a	191858097
problem_n	191237068
different_a	190595970
study_n	189055424
school_n	188441130
value_n	186522800
water_n	185351646
house_n	185296200
example_n	184848368
fact_n	184621140
book_n	183137218
never_r	182074881
begin_v	177106734
effect_n	177004531
far_r	176990401
thus_r	176347806
work_v	174623714
war_n	173477743
service_n	173070592
person_n	172521456
want_v	172279000
area_n	171256387
shall_v	171215933
few_a	170530030
result_n	168319159
family_n	166734283
hold_v	166455503
line_n	165055716
bring_v	164773413
process_n	164529384
question_n	164179421
general_a	164163262
again_r	162496827
change_n	162395256
often_r	161119051
figure_n	160997515
need_v	159784809
back_r	159750714
important_a	158863541
low_a	158503049
development_n	158075763
appear_v	157269580
social_a	156160996
ask_v	155951102
use_n	155680545
most_a	152698299
name_n	152667222
end_n	152621817
early_a	151587188
keep_v	150947873
