"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"0","PPMI","glmnet",0.501762803167796,0.708127287113081
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"0","PPMI","glmnet",0.534256569839509,0.708127287113081
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"0","PPMI","glmnet",0.505510774077696,0.585822510822511
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"0","PPMI","glmnet",0.470907580855823,0.607554112554113
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"0","PPMI","glmnet",0.538657208866701,0.695980450961276
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"0","PPMI","glmnet",0.499779964756984,0.68823423462802
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"0","PPMI","glmnet",0.48832471551467,0.646994801599861
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"0","PPMI","glmnet",0.520736529624066,0.643818518230902
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"0","PPMI","glmnet",0.408767986770744,0.687294372294372
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"0","PPMI","glmnet",0.505558809542569,0.683528138528139
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"0","PPMI","glmnet",0.500320881927181,0.687392729150493
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"0","PPMI","glmnet",0.493427337260875,0.687392729150493
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"0","PPMI","glmnet",0.49103568993541,0.629835340018429
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"0","PPMI","glmnet",0.448619178898005,0.623756284581628
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"0","PPMI","glmnet",0.551479337116032,0.697034632034632
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"0","PPMI","glmnet",0.498865552303145,0.697034632034632
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"0","PPMI","glmnet",0.49494788543347,0.679393939393939
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"0","PPMI","glmnet",0.498924595616011,0.670714285714286
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"0","PPMI","glmnet",0.539812561363508,0.650974025974026
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"0","PPMI","glmnet",0.450589943112749,0.647402597402597
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"0","PPMI","glmnet",0.340915827219246,0.524982989662983
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"0","PPMI","glmnet",0.269847955580156,0.494013419895488
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"0","PPMI","glmnet",0.271150113482263,0.535784870478804
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"0","PPMI","glmnet",0.307282534978193,0.53289295790474
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"0","PPMI","glmnet",0.307881235585607,0.587112483630714
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"0","PPMI","glmnet",0.299649057158199,0.535510888828537
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"0","PPMI","glmnet",0.272344099089846,0.568467636806851
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"0","PPMI","glmnet",0.304019543479915,0.533694756846515
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"0","PPMI","glmnet",0.3193855214404,0.573715615624015
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1441,10,"0","PPMI","glmnet",0.300272566651117,0.548788123907571
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1551,10,"0","PPMI","glmnet",0.33142051888745,0.554878970788457
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1551,10,"0","PPMI","glmnet",0.291688916994573,0.541264896000343
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1661,10,"0","PPMI","glmnet",0.332545836302024,0.580828936136
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1661,10,"0","PPMI","glmnet",0.3423884354859,0.62508122157245
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1771,10,"0","PPMI","glmnet",0.322848381189112,0.547695942137003
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1771,10,"0","PPMI","glmnet",0.286665714819439,0.705263157894737
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1881,10,"0","PPMI","glmnet",0.353561597893644,0.572962618316074
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1881,10,"0","PPMI","glmnet",0.320575116142292,0.561808748530468
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1991,10,"0","PPMI","glmnet",0.377636634718511,0.569548407934595
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1991,10,"0","PPMI","glmnet",0.305549500845335,0.545273957368515
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"10","PPMI","glmnet",0.480118716594288,0.678488297216943
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"10","PPMI","glmnet",0.523311474384281,0.669317763303557
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"10","PPMI","glmnet",0.487360611126701,0.601688311688312
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"10","PPMI","glmnet",0.469209234129065,0.630714285714286
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.528618272827485,0.636194924258572
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.461842741176984,0.642522156099608
