"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"0","PPMI","glmnet",0.533447413021725,0.660631349167134
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"0","PPMI","glmnet",0.4966829773404,0.660631349167134
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"0","PPMI","glmnet",0.47503263910057,0.571125541125541
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"0","PPMI","glmnet",0.458389168291692,0.571125541125541
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"0","PPMI","glmnet",0.528618759078807,0.651934544869742
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"0","PPMI","glmnet",0.470702043511281,0.651934544869742
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"0","PPMI","glmnet",0.490649916532608,0.636313230532937
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"0","PPMI","glmnet",0.46823844552637,0.633961302924108
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"0","PPMI","glmnet",0.437596909963939,0.665238095238095
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"0","PPMI","glmnet",0.486217552504553,0.665238095238095
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"0","PPMI","glmnet",0.465418731601123,0.652379433417914
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"0","PPMI","glmnet",0.492409290028634,0.652379433417914
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"0","PPMI","glmnet",0.474974636236082,0.636546647436217
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"0","PPMI","glmnet",0.489976710510487,0.636546647436217
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"0","PPMI","glmnet",0.496432740541031,0.680887445887446
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"0","PPMI","glmnet",0.507253590996677,0.680887445887446
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"0","PPMI","glmnet",0.466685137098077,0.643290043290043
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"0","PPMI","glmnet",0.467133467768748,0.643290043290043
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"0","PPMI","glmnet",0.68706676668356,0.637594072594073
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"0","PPMI","glmnet",0.459594084586486,0.631879786879787
"norm","python","Tagged","Aware","all","coha","elastic",211,1001,10,"0","PPMI","glmnet",0.325603109413415,0.522757269043351
"plus","python","Tagged","Aware","all","coha","elastic",210,1001,10,"0","PPMI","glmnet",0.268258317581246,0.502684318117138
"norm","python","Tagged","Aware","all","coha","elastic",211,1111,10,"0","PPMI","glmnet",0.269230768893256,0.557061033516552
"plus","python","Tagged","Aware","all","coha","elastic",210,1111,10,"0","PPMI","glmnet",0.32147852783144,0.551161585145732
"norm","python","Tagged","Aware","all","coha","elastic",211,1221,10,"0","PPMI","glmnet",0.322246668035915,0.572815845226127
"plus","python","Tagged","Aware","all","coha","elastic",210,1221,10,"0","PPMI","glmnet",0.283139378897541,0.521067303815778
"norm","python","Tagged","Aware","all","coha","elastic",211,1331,10,"0","PPMI","glmnet",0.265604557739646,0.551434324529205
"plus","python","Tagged","Aware","all","coha","elastic",210,1331,10,"0","PPMI","glmnet",0.28861917643753,0.525036647881499
"norm","python","Tagged","Aware","all","coha","elastic",211,1441,10,"0","PPMI","glmnet",0.333436795293437,0.578078905807443
"plus","python","Tagged","Aware","all","coha","elastic",210,1441,10,"0","PPMI","glmnet",0.311285626573856,0.545882173323493
"norm","python","Tagged","Aware","all","coha","elastic",211,1551,10,"0","PPMI","glmnet",0.279957729532209,0.544493639961608
"plus","python","Tagged","Aware","all","coha","elastic",210,1551,10,"0","PPMI","glmnet",0.283335272851798,0.51973901934964
"norm","python","Tagged","Aware","all","coha","elastic",211,1661,10,"0","PPMI","glmnet",0.335332001124171,0.571720653879557
"plus","python","Tagged","Aware","all","coha","elastic",210,1661,10,"0","PPMI","glmnet",0.34605029508268,0.599545338538617
"norm","python","Tagged","Aware","all","coha","elastic",211,1771,10,"0","PPMI","glmnet",0.304565063077163,0.552874999220243
"plus","python","Tagged","Aware","all","coha","elastic",210,1771,10,"0","PPMI","glmnet",0.285000066696501,0.705263157894737
"norm","python","Tagged","Aware","all","coha","elastic",211,1881,10,"0","PPMI","glmnet",0.334106484688386,0.538743955812361
"plus","python","Tagged","Aware","all","coha","elastic",210,1881,10,"0","PPMI","glmnet",0.300676924802611,0.51363551162203
"norm","python","Tagged","Aware","all","coha","elastic",211,1991,10,"0","PPMI","glmnet",0.338467810183598,0.547850300035994
"plus","python","Tagged","Aware","all","coha","elastic",210,1991,10,"0","PPMI","glmnet",0.269993971203099,0.504103197387254
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"10","PPMI","glmnet",0.491389204863356,0.694252828238622
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"10","PPMI","glmnet",0.489525980095599,0.684166248152042
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"10","PPMI","glmnet",0.4992012742225,0.63521645021645
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"10","PPMI","glmnet",0.461906616678495,0.624004329004329
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.520423254460394,0.64865408851605
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.461162333898634,0.64865408851605
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"10","PPMI","glmnet",0.5164431886185,0.643441822404627
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"10","PPMI","glmnet",0.4763872453683,0.643225372188177
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"10","PPMI","glmnet",0.447021554139809,0.687402597402597
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"10","PPMI","glmnet",0.500447517466301,0.687402597402597
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"10","PPMI","glmnet",0.473310744003956,0.733333333333333
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"10","PPMI","glmnet",0.494993499208713,0.733333333333333
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"10","PPMI","glmnet",0.497317277177818,0.642868838694183
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"10","PPMI","glmnet",0.494538801950441,0.642868838694183
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"10","PPMI","glmnet",0.510066888999059,0.732359307359307
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"10","PPMI","glmnet",0.506583864533965,0.720757575757576
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"10","PPMI","glmnet",0.502719268099718,0.630064935064935
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"10","PPMI","glmnet",0.464509915339526,0.633095238095238
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"10","PPMI","glmnet",0.559757255393772,0.660929070929071
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"10","PPMI","glmnet",0.454295051434933,0.660929070929071
"norm","python","Tagged","Aware","all","coha","elastic",211,1001,10,"10","PPMI","glmnet",0.307947220599809,0.512107373427122
"plus","python","Tagged","Aware","all","coha","elastic",210,1001,10,"10","PPMI","glmnet",0.273311546705829,0.502999582193011
"norm","python","Tagged","Aware","all","coha","elastic",211,1111,10,"10","PPMI","glmnet",0.27914610996357,0.541928239498483
"plus","python","Tagged","Aware","all","coha","elastic",210,1111,10,"10","PPMI","glmnet",0.302264696421638,0.530051147773421
"norm","python","Tagged","Aware","all","coha","elastic",211,1221,10,"10","PPMI","glmnet",0.280256803492613,0.563689584219735
"plus","python","Tagged","Aware","all","coha","elastic",210,1221,10,"10","PPMI","glmnet",0.288107784654189,0.503959501419498
"norm","python","Tagged","Aware","all","coha","elastic",211,1331,10,"10","PPMI","glmnet",0.281278582656509,0.544594310657122
"plus","python","Tagged","Aware","all","coha","elastic",210,1331,10,"10","PPMI","glmnet",0.279664987826326,0.479001564712896
"norm","python","Tagged","Aware","all","coha","elastic",211,1441,10,"10","PPMI","glmnet",0.312550005363437,0.553091140901014
