"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"0","RAW","glmnet",0.474630214780022,0.642586161571955
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"0","RAW","glmnet",0.443949749038162,0.682449999807489
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"0","RAW","glmnet",0.47886603819597,0.586623376623377
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"0","RAW","glmnet",0.425672014921122,0.59512987012987
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"0","RAW","glmnet",0.48881336154805,0.625711354031904
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"0","RAW","glmnet",0.448929371805592,0.657543801121253
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"0","RAW","glmnet",0.478409345032218,0.60291127225943
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"0","RAW","glmnet",0.501213980874584,0.80952380952381
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"0","RAW","glmnet",0.40911414099917,0.654805194805195
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"0","RAW","glmnet",0.461500705950464,0.682575757575758
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"0","RAW","glmnet",0.450559229597372,0.637676496423765
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"0","RAW","glmnet",0.484404932470106,0.660821332144027
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"0","RAW","glmnet",0.45584984391591,0.613276898459988
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"0","RAW","glmnet",0.429298587769995,0.645859541556434
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"0","RAW","glmnet",0.483341103343612,0.680779220779221
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"0","RAW","glmnet",0.458589407293888,0.690714285714286
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"0","RAW","glmnet",0.486086540537535,0.617034632034632
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"0","RAW","glmnet",0.471276000006211,0.644025974025974
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"0","RAW","glmnet",0.495786458851391,0.584981684981685
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"0","RAW","glmnet",0.415956190579429,0.617332667332667
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"0","RAW","glmnet",0.318581913308677,0.532765719298013
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"0","RAW","glmnet",0.312376248356377,0.535589783390834
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"0","RAW","glmnet",0.276246305138447,0.545337350988352
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"0","RAW","glmnet",0.306144860863644,0.553948577660279
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"0","RAW","glmnet",0.312006031631029,0.56699942198714
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"0","RAW","glmnet",0.298014425957658,0.529265754467483
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"0","RAW","glmnet",0.277694726402164,0.541219662172475
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"0","RAW","glmnet",0.273031431709599,0.522294787146485
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"0","RAW","glmnet",0.316826143344992,0.512337046439829
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1441,10,"0","RAW","glmnet",0.295566552103004,0.518462953005604
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1551,10,"0","RAW","glmnet",0.316597043840266,0.543066740005196
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1551,10,"0","RAW","glmnet",0.307615893051922,0.547058042464684
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1661,10,"0","RAW","glmnet",0.301170260597567,0.542534751215829
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1661,10,"0","RAW","glmnet",0.291549280751085,0.549202209850663
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1771,10,"0","RAW","glmnet",0.294291166547426,0.531473848613595
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1771,10,"0","RAW","glmnet",0.297259815757534,0.511005350983147
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1881,10,"0","RAW","glmnet",0.30296461809383,0.523964918390435
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1881,10,"0","RAW","glmnet",0.306713322354189,0.529918064652273
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1991,10,"0","RAW","glmnet",0.333671723008776,0.545349792287649
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1991,10,"0","RAW","glmnet",0.301945016756061,0.53223057347452
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"10","RAW","glmnet",0.466439235831997,0.643668412654206
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"10","RAW","glmnet",0.474072075974066,0.65887095234245
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"10","RAW","glmnet",0.508352845573627,0.591428571428571
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"10","RAW","glmnet",0.442337855708107,0.610974025974026
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","RAW","glmnet",0.501323831697956,0.609509808215711
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","RAW","glmnet",0.455324545963407,0.644682968388871
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"10","RAW","glmnet",0.510305401017892,0.626426990454021
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"10","RAW","glmnet",0.496083655977687,0.684639678345581
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"10","RAW","glmnet",0.44537856731208,0.648246753246753
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"10","RAW","glmnet",0.473182029366282,0.685670995670996
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"10","RAW","glmnet",0.468921138519281,0.694136605761007
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"10","RAW","glmnet",0.50616993912402,0.679084443684358
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"10","RAW","glmnet",0.473749424992717,0.616808726863365
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"10","RAW","glmnet",0.457228314939346,0.653453748508387
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"10","RAW","glmnet",0.503883015183523,0.689220779220779
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"10","RAW","glmnet",0.485860080346488,0.673030303030303
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"10","RAW","glmnet",0.481791723039478,0.642121212121212
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"10","RAW","glmnet",0.485692010478516,0.657229437229437
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"10","RAW","glmnet",0.510850068794515,0.584588744588745
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"10","RAW","glmnet",0.414976031369267,0.59960372960373
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"10","RAW","glmnet",0.295251023016422,0.53106606698295
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"10","RAW","glmnet",0.292508296822059,0.529234716698552
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"10","RAW","glmnet",0.28197976190162,0.53255499107234
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"10","RAW","glmnet",0.282494282821768,0.530080264826038
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"10","RAW","glmnet",0.297503053219068,0.546515609175741
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"10","RAW","glmnet",0.274987123903677,0.505665653628075
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"10","RAW","glmnet",0.277370650442548,0.535936777627259
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"10","RAW","glmnet",0.250634405554436,0.483955784249208
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"10","RAW","glmnet",0.307169101928516,0.529429351080386
