"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"0","RAW","glmnet",0.486213092765484,0.639593362164842
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"0","RAW","glmnet",0.481985975507312,0.710344119665734
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"0","RAW","glmnet",0.527971213362714,0.641255411255411
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"0","RAW","glmnet",0.476972126618361,0.629264069264069
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"0","RAW","glmnet",0.56050814846815,0.654282782603333
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"0","RAW","glmnet",0.490593525731844,0.675325433517533
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"0","RAW","glmnet",0.544263904259107,0.674073217907572
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"0","RAW","glmnet",0.495042428261972,0.722115447041634
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"0","RAW","glmnet",0.484670328849524,0.638484848484849
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"0","RAW","glmnet",0.476254174003567,0.666969696969697
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"0","RAW","glmnet",0.513939157917851,0.692393409719603
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"0","RAW","glmnet",0.519657237109271,0.686060448235789
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"0","RAW","glmnet",0.461170338557818,0.614433803525059
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"0","RAW","glmnet",0.437973397760181,0.702337662337662
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"0","RAW","glmnet",0.566893807270966,0.698138528138528
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"0","RAW","glmnet",0.500634451419057,0.736861471861472
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"0","RAW","glmnet",0.494910845090188,0.62797619047619
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"0","RAW","glmnet",0.443143063565031,0.638333333333333
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"0","RAW","glmnet",0.517015461383792,0.574247419247419
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"0","RAW","glmnet",0.434728279799423,0.617745587745588
"norm","python","Tagged","Aware","all","coha","elastic",211,1001,10,"0","RAW","glmnet",0.283593792106136,0.476358686315107
"plus","python","Tagged","Aware","all","coha","elastic",210,1001,10,"0","RAW","glmnet",0.289954991471911,0.499806412427092
"norm","python","Tagged","Aware","all","coha","elastic",211,1111,10,"0","RAW","glmnet",0.262336151038212,0.497824190408483
"plus","python","Tagged","Aware","all","coha","elastic",210,1111,10,"0","RAW","glmnet",0.288771768359529,0.491478804894025
"norm","python","Tagged","Aware","all","coha","elastic",211,1221,10,"0","RAW","glmnet",0.270981429963727,0.502472932128903
"plus","python","Tagged","Aware","all","coha","elastic",210,1221,10,"0","RAW","glmnet",0.284440220742221,0.512143614290334
"norm","python","Tagged","Aware","all","coha","elastic",211,1331,10,"0","RAW","glmnet",0.245794365010496,0.487479193092288
"plus","python","Tagged","Aware","all","coha","elastic",210,1331,10,"0","RAW","glmnet",0.264562900214071,0.472703784138912
"norm","python","Tagged","Aware","all","coha","elastic",211,1441,10,"0","RAW","glmnet",0.28615638471327,0.512077896073046
"plus","python","Tagged","Aware","all","coha","elastic",210,1441,10,"0","RAW","glmnet",0.287241915571419,0.510838707946879
"norm","python","Tagged","Aware","all","coha","elastic",211,1551,10,"0","RAW","glmnet",0.268754306685335,0.502457463623985
"plus","python","Tagged","Aware","all","coha","elastic",210,1551,10,"0","RAW","glmnet",0.291278004741908,0.534025771899681
"norm","python","Tagged","Aware","all","coha","elastic",211,1661,10,"0","RAW","glmnet",0.280035533971339,0.493434915937453
"plus","python","Tagged","Aware","all","coha","elastic",210,1661,10,"0","RAW","glmnet",0.302384583689897,0.52646698882572
"norm","python","Tagged","Aware","all","coha","elastic",211,1771,10,"0","RAW","glmnet",0.278777974925695,0.742857142857143
"plus","python","Tagged","Aware","all","coha","elastic",210,1771,10,"0","RAW","glmnet",0.271034078403987,0.521166106638664
"norm","python","Tagged","Aware","all","coha","elastic",211,1881,10,"0","RAW","glmnet",0.256264400947142,0.498838260508545
"plus","python","Tagged","Aware","all","coha","elastic",210,1881,10,"0","RAW","glmnet",0.288198584033302,0.520362402048013
"norm","python","Tagged","Aware","all","coha","elastic",211,1991,10,"0","RAW","glmnet",0.281828162276463,0.512222197812422
"plus","python","Tagged","Aware","all","coha","elastic",210,1991,10,"0","RAW","glmnet",0.268045594552399,0.485867311625007
