"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1001,10,"0","PPMI","glmnet",0.548697888988595,0.684080252487463
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1001,10,"0","PPMI","glmnet",0.538933171214493,0.684080252487463
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"0","PPMI","glmnet",0.513529910359931,0.620411255411255
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"0","PPMI","glmnet",0.484686146702114,0.620411255411255
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"0","PPMI","glmnet",0.546792696838034,0.706333162598497
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"0","PPMI","glmnet",0.535548075744853,0.706333162598497
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"0","PPMI","glmnet",0.532314172030136,0.6838641474416
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"0","PPMI","glmnet",0.545439437080499,0.6838641474416
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"0","PPMI","glmnet",0.507488410109421,0.702532467532468
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"0","PPMI","glmnet",0.515569118579117,0.702532467532468
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"0","PPMI","glmnet",0.502264462145784,0.674500985823681
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"0","PPMI","glmnet",0.537372398078456,0.674500985823681
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1661,10,"0","PPMI","glmnet",0.483506023523657,0.690916734622638
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1661,10,"0","PPMI","glmnet",0.493606377994825,0.690916734622638
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1771,10,"0","PPMI","glmnet",0.567933257687947,0.710735930735931
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1771,10,"0","PPMI","glmnet",0.529565124681775,0.710735930735931
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1881,10,"0","PPMI","glmnet",0.528854264926477,0.661645021645022
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1881,10,"0","PPMI","glmnet",0.512422041549861,0.661645021645022
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1991,10,"0","PPMI","glmnet",0.548549346905891,0.689202464202464
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1991,10,"0","PPMI","glmnet",0.513511506697061,0.689202464202464
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1001,10,"0","PPMI","glmnet",0.410267425298378,0.574388926193242
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1001,10,"0","PPMI","glmnet",0.324621950347556,0.551200367459998
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1111,10,"0","PPMI","glmnet",0.310355988820522,0.576906953370831
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1111,10,"0","PPMI","glmnet",0.356026005759143,0.580573134220446
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1221,10,"0","PPMI","glmnet",0.366417949900969,0.604169368420383
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1221,10,"0","PPMI","glmnet",0.346910646268152,0.558716692014065
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1331,10,"0","PPMI","glmnet",0.309053336969436,0.60798407485925
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1331,10,"0","PPMI","glmnet",0.356394430836211,0.561749898251497
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1441,10,"0","PPMI","glmnet",0.373071637392655,0.629106129408455
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1441,10,"0","PPMI","glmnet",0.357041179237721,0.614123745126272
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1551,10,"0","PPMI","glmnet",0.352355144841458,0.580408362288997
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1551,10,"0","PPMI","glmnet",0.347961929774077,0.582796867670178
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1661,10,"0","PPMI","glmnet",0.36990284176827,0.594258352738035
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1661,10,"0","PPMI","glmnet",0.376152526716383,0.594358503312396
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1771,10,"0","PPMI","glmnet",0.354190506714349,0.575990718482442
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1771,10,"0","PPMI","glmnet",0.362876688942749,0.579815036871672
