"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"0","PPMI","glmnet",0.557808623313535,0.70609323950045
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"0","PPMI","glmnet",0.522256684849342,0.70609323950045
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"0","PPMI","glmnet",0.505462701174215,0.622510822510823
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"0","PPMI","glmnet",0.489160714807169,0.622510822510823
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"0","PPMI","glmnet",0.544749107373687,0.666765074571821
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"0","PPMI","glmnet",0.512269893845815,0.666765074571821
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"0","PPMI","glmnet",0.551338962595701,0.668366311943764
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"0","PPMI","glmnet",0.491175625473228,0.668366311943764
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"0","PPMI","glmnet",0.511825619692072,0.697142857142857
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"0","PPMI","glmnet",0.517806475902812,0.697142857142857
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"0","PPMI","glmnet",0.501982694998855,0.669507973974526
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"0","PPMI","glmnet",0.512301232985852,0.669507973974526
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"0","PPMI","glmnet",0.476319069076198,0.691536566270077
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"0","PPMI","glmnet",0.526840980252001,0.691536566270077
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"0","PPMI","glmnet",0.550156138131165,0.709004329004329
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"0","PPMI","glmnet",0.544546239193109,0.709004329004329
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"0","PPMI","glmnet",0.49765962597513,0.649761904761905
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"0","PPMI","glmnet",0.514763784678458,0.649761904761905
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"0","PPMI","glmnet",0.522518566197655,0.666122211122211
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"0","PPMI","glmnet",0.521061215901233,0.666122211122211
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"0","PPMI","glmnet",0.329806465514303,0.504855710895562
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"0","PPMI","glmnet",0.290353650287578,0.523617149132611
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"0","PPMI","glmnet",0.280619343001351,0.547459887884745
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"0","PPMI","glmnet",0.319392279957423,0.532821392708801
"norm","python","UnTagged","Aware","all","coha","elastic",211,1221,10,"0","PPMI","glmnet",0.328675843382789,0.572076999123158
"plus","python","UnTagged","Aware","all","coha","elastic",210,1221,10,"0","PPMI","glmnet",0.289665769412622,0.519409496769744
"norm","python","UnTagged","Aware","all","coha","elastic",211,1331,10,"0","PPMI","glmnet",0.264355230430274,0.551203496649437
"plus","python","UnTagged","Aware","all","coha","elastic",210,1331,10,"0","PPMI","glmnet",0.291921965886274,0.505089892311392
"norm","python","UnTagged","Aware","all","coha","elastic",211,1441,10,"0","PPMI","glmnet",0.340169065111023,0.54934748137572
"plus","python","UnTagged","Aware","all","coha","elastic",210,1441,10,"0","PPMI","glmnet",0.314788358357849,0.547606416004126
"norm","python","UnTagged","Aware","all","coha","elastic",211,1551,10,"0","PPMI","glmnet",0.280154322584936,0.539482139996426
"plus","python","UnTagged","Aware","all","coha","elastic",210,1551,10,"0","PPMI","glmnet",0.297452725196835,0.545025104782858
"norm","python","UnTagged","Aware","all","coha","elastic",211,1661,10,"0","PPMI","glmnet",0.341612187697344,0.560009432042552
