"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1001,10,"0","RAW","glmnet",0.566186442458193,0.679093578593668
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1001,10,"0","RAW","glmnet",0.503214200599202,0.736363636363636
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"0","RAW","glmnet",0.512842846102799,0.621428571428571
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"0","RAW","glmnet",0.48493824082181,0.645021645021645
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"0","RAW","glmnet",0.561522879522416,0.66706859910464
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"0","RAW","glmnet",0.542845361997118,0.682923330344724
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"0","RAW","glmnet",0.571104031894786,0.65320791127156
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"0","RAW","glmnet",0.507024321470574,0.695792267324091
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"0","RAW","glmnet",0.501790178023881,0.684437229437229
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"0","RAW","glmnet",0.505462915489358,0.717294372294372
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"0","RAW","glmnet",0.516837309183666,0.677090719701128
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"0","RAW","glmnet",0.531448877583894,0.707287906887821
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1661,10,"0","RAW","glmnet",0.518271060940308,0.682213096753931
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1661,10,"0","RAW","glmnet",0.539220540139816,0.684213169203582
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1771,10,"0","RAW","glmnet",0.522647041219354,0.737532467532468
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1771,10,"0","RAW","glmnet",0.521472090790025,0.73521645021645
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1881,10,"0","RAW","glmnet",0.508053489080409,0.68504329004329
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1881,10,"0","RAW","glmnet",0.539109996437371,0.681709956709957
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1991,10,"0","RAW","glmnet",0.522453737137466,0.638797868797869
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1991,10,"0","RAW","glmnet",0.48342704043046,0.666744921744922
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1001,10,"0","RAW","glmnet",0.342715094582477,0.546349682700407
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1001,10,"0","RAW","glmnet",0.334258497736442,0.561041539501157
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1111,10,"0","RAW","glmnet",0.309920416872115,0.573748335693511
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1111,10,"0","RAW","glmnet",0.330839869105472,0.548366675017904
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1221,10,"0","RAW","glmnet",0.345801171150357,0.599733019044227
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1221,10,"0","RAW","glmnet",0.317759468703237,0.542747350787238
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1331,10,"0","RAW","glmnet",0.302425451168172,0.560797824997873
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1331,10,"0","RAW","glmnet",0.310269041503796,0.5466086668505
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1441,10,"0","RAW","glmnet",0.357908729140213,0.549751482319877
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1441,10,"0","RAW","glmnet",0.329955057090706,0.554614654727591
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1551,10,"0","RAW","glmnet",0.341362255544085,0.569167777769116
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1551,10,"0","RAW","glmnet",0.317281983620362,0.567905944155782
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1661,10,"0","RAW","glmnet",0.340252755672725,0.563506531977068
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1661,10,"0","RAW","glmnet",0.338617965277846,0.568435940554365
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1771,10,"0","RAW","glmnet",0.322087983108456,0.539861698922098
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1771,10,"0","RAW","glmnet",0.328845541389389,0.52564619280553
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1881,10,"0","RAW","glmnet",0.349194284769122,0.579393711344555
