"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"0","RAW","glmnet",0.551409331889041,0.688272041807827
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"0","RAW","glmnet",0.512957138361595,0.688272041807827
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"0","RAW","glmnet",0.520526243854468,0.607857142857143
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"0","RAW","glmnet",0.490707383980194,0.623809523809524
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"0","RAW","glmnet",0.544231324943314,0.662977195783942
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"0","RAW","glmnet",0.5050989323792,0.693438626759177
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"0","RAW","glmnet",0.541159263437215,0.671804180510084
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"0","RAW","glmnet",0.503697560345721,0.703240988167175
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"0","RAW","glmnet",0.512666528450558,0.69461038961039
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"0","RAW","glmnet",0.520636690534303,0.69461038961039
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"0","RAW","glmnet",0.499164592345384,0.673758066936906
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"0","RAW","glmnet",0.512662810549501,0.684361745551079
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"0","RAW","glmnet",0.477730392755421,0.653741162832419
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"0","RAW","glmnet",0.497211172214186,0.684512509631373
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"0","RAW","glmnet",0.556663951410762,0.697207792207792
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"0","RAW","glmnet",0.509621962693194,0.720865800865801
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"0","RAW","glmnet",0.500789433051336,0.628116883116883
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"0","RAW","glmnet",0.509487784624822,0.649264069264069
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"0","RAW","glmnet",0.497151476497424,0.657847152847153
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"0","RAW","glmnet",0.481615476656676,0.672044622044622
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"0","RAW","glmnet",0.321100774394835,0.530535680160296
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"0","RAW","glmnet",0.316687891219994,0.536014041677843
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"0","RAW","glmnet",0.303848296502157,0.529924318570868
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"0","RAW","glmnet",0.312309508711417,0.532197846147441
